,Movie,Day of Release,Language
270,China,2020,Tamil
271,Vaan,2020,Tamil
272,Maara,2020,Tamil
273,R.K. Nagar,2020,Tamil
274,Aramm 2,2020,Tamil
275,Adraa Raja Adidaa Nature Is Watching,2020,Tamil
276,Maragatha Kaadu,2020,Tamil
277,Thevar Magan 2,2020,Tamil
278,Paris Paris,2020,Tamil
279,Naan Sathiriyan,2020,Tamil
280,Mookuthi Amman,2020,Tamil
281,Sethum Aayiram Pon,2020,Tamil
282,Rocketry,2020,Tamil
283,Aakasham Nee Haddhu Ra,2020,Telugu
284,Anukoni Athidhi,2020,Telugu
285,Serial Killer,2020,Telugu
286,Sasi Lalitha,2020,"Telugu, "
287,Nuvvevaru,2020,Telugu
288,Lalijo Lalijo,2020,Telugu
289,Good Bad Ugly,2020,Telugu
290,Evadra Hero,2020,Telugu
291,That is Mahalakshmi,2020,Telugu
292,Paani,2020,Marathi
293,Monsoon Football,2020,"Marathi, "
294,15 August,2020,Marathi
295,Vitthala Vitthala,2020,Marathi
296,Dimakhilal,2020,Marathi
297,Divyang,2020,Marathi
298,Titvi-A Bright Hope,2020,Marathi
299,Aakrandan,2020,Marathi
300,Nagarjuna,2020,Kannada
301,Dhwaja,2020,Kannada
302,Kaalachakra,2020,Kannada
303,Butterfly,2020,Kannada
304,Nakshe,2020,Kannada
305,Tesla,2020,Kannada
306,Sleeplessly Yours,2020,Malayalam
307,Kaaliyan,2020,Malayalam
308,Veerapakru,2020,Malayalam
309,Arabikkadalinte Rani - The Metro Woman,2020,Malayalam
310,Zam Zam,2020,Malayalam
311,Proud To Be A Sikh 3,2020,Punjabi
312,Senapati,2020,Bengali
313,Jete Nahi Dibo,2020,Bengali
314,Pass Na Pass,2020,Gujarati
315,Hamar Mission Hamar Banaras,2020,Bhojpuri
316,Mil Gaili Chandaniya,2020,Bhojpuri
317,Dehati Lakhera No 1,2020,Bhojpuri
318,Yubi Lukpi,2020,Hindi
319,Blockers,2020,English
320,Raakshasaru,2020,Kannada
321,Shrunk,2020,English
322,Teddy,2020,Tamil
323,Goodachari 2,2020,Telugu
324,Garudaksha,2020,Kannada
325,Avatar Purusha,2020,Kannada
326,Aviyal,2020,Malayalam
327,Mango Talkies,2020,Hindi
328,Dim Dip,2020,Tamil
329,Vakeel Saab,2020,Telugu
330,Asalu Em Jarigindhante,2020,Telugu
331,MRP,2020,Kannada
332,Billa Ranga Baashaa,2020,Kannada
333,Tejas,2020,Hindi
334,Everybody's Talking About Jamie,2020,English
335,Ichata Vahanamulu Nilupa Radu,2020,Telugu
336,Dhehi,2020,Kannada
337,Sumesh & Ramesh,2020,Malayalam
338,Backpackers,2020,Malayalam
339,Imali,2020,Hindi
